Dialogue_ID,Speaker_id,method_of_speaker_annotation,Verb,Semantic_Class,Particle,Givenness_of_theme,Givenness_of_Recipient,Theme,Number_of_Theme,Person_of_Theme,Simplified_Person_of_Theme,Expression_Type_of_Theme,Person/Pronominality_of_Theme,"Person/Pronominality_of_Theme,_non-specific_you=local",Length_of_Theme_in_Graphemic_Words_(normalized),Length_of_Theme_in_Graphemic_Words,Animacy_of_Theme,Simplified_Animacy_of_Theme,simplest_animacy_of _theme,Definiteness_of_Theme,Coordination_of_Theme,Recipient,Number_of_Recipluralient,Person_of_Recipient,Simplified_Person_of_Recipient,Expression_Type_of_Recipient,Person/Pronominality_of_Recipient,"Person/Pronominality,_ns_you=local_for_Recipient",Length_of_Recipient_in_Graphemic_Words_(normalized),Length_of_Recipient_in_Graphemic_Words,Animacy_of_Recipient,Simplified_Animacy_of_Recipient,Simples_animacy_of_recipient,Definiteness_of_Recipient,Coordination_of_Recipient,Remarks,Realized_Construction
3172,1316,auto,lend,abstract,-,gen,evoked,a hand,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - broadly inclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3172,1181,hand,give,transfer,-,frame,gen,an x amount of dollars,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,a country,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,organization,non-human animate,non-human animate,indefinite,-,,NP NP.
3174,1351,auto,cause,abstract,-,gen,gen,injury,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,other people,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,,NP_PP.
3174,1351,auto,cause,abstract,-,gen,gen,serious injury,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,other people,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,,NP_PP.
3175,1130,auto,give,abstract,-,bn,sitev,a terrible rash,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3177,1181,auto,give,abstract,-,frame,sitev,a tax break,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3177,1181,auto,give,transfer,-,frame,evoked,the money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3179,1388,auto,pay,abstract,-,gen,gen,attention,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,anything,singular,third,non-local,impersonal_pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,,NP_PP.
3180,1359,auto,send,transfer,-,bn,sitev,a package,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3180,1359,auto,charge,prevention of possession,-,bn,sitev,two dollars,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3181,1253,auto,give,abstract,-,gen,sitev,time to think,singular,third,non-local,common,non-pronominal,non-pronominal,1+,3,time,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3182,1381,auto,give,transfer,-,coin,bn-anch,a lot,?,third,non-local,quantifier,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,our two daughters that are grown and have their home,plural,third,non-local,common,non-pronominal,non-pronominal,3+,10,human,human,human,definite,-,,NP_PP.
3182,1381,auto,bring,transfer,-,frame,sitev,the china the book the brushes,singular,third,non-local,common,non-pronominal,non-pronominal,3+,6,concrete,concrete,inan,definite,+,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3185,1253,auto,give,abstract,-,frame,sitev,eighties,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,?,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3185,1253,auto,give,abstract,-,frame,sitev,seventies,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,?,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3186,1379,auto,give,abstract,-,frame,sitev,some more places to go,plural,third,non-local,common,non-pronominal,non-pronominal,3+,5,place,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3192,1357,hand,pay,transfer,-,gen,sitev,an interest,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3192,1357,auto,give,abstract,-,frame,sitev,an interest on it,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3192,1312,auto,give,abstract,-,frame,sitev,any breaks,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3192,1357,auto,owe,future transfer,-,gen,evoked,anything,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,your city,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,organization,non-human animate,non-human animate,definite,-,,NP NP.
3192,1312,auto,give,abstract,-,frame,sitev,some refund and so forth,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3193,1300,auto,give,abstract,-,gen,sitev,a lot of exercise,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3194,1253,auto,pay,transfer,-,bn,sitev,a certain amount of money,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3194,1253,hand,pay,transfer,-,gen,sitev,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3194,1262,auto,tell,communication,-,bn,sitev,one interesting thing,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3194,1253,auto,pay,transfer,back,evoked,sitev,the money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3195,1357,auto,bring,transfer,-,frame,evoked,the manager,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3195,1357,auto,sell,transfer,-,evoked,gen,what we're trading in,singular,third,non-local,wh-phrase,non-pronominal,non-pronominal,3+,4,concrete,concrete,inan,definite,-,an individual,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,attachment_ambiguity,NP_PP.
3196,1361,auto,give,abstract,-,frame,sitev,a personal loan,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,plural,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3201,1011,auto,take,transfer,-,evoked,bn,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,a girl at work,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,human,human,human,indefinite,-,,NP_PP.
3214,1352,auto,give,abstract,-,gen,evoked,a try,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,non-concrete,non-concrete,inan,definite,-,,NP NP.
3214,1399,hand,pay,abstract,-,gen,unused,attention,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,that Country Living,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,definite,-,,NP_PP.
3214,1399,auto,give,transfer,-,evoked,sitev,them,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,me,singular,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
3218,1410,auto,give,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,animal,non-human_animate,non-human_animate,definite,-,us,plural,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
3222,1098,auto,bring,transfer,-,bn-anch,sitev,all the chips and stuff you can eat,plural,third,non-local,common,non-pronominal,non-pronominal,3+,8,concrete,concrete,inan,definite,+,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3222,1098,auto,give,transfer,-,bn,sitev,real big quantities,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3224,1324,auto,give,abstract,-,frame,sitev,guidance,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3224,1374,auto,give,communication,-,bn-anch,sitev,our address,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3224,1324,auto,send,communication,-,frame,evoked,some information about it,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3225,1414,auto,give,abstract,-,bn,evoked,a little bit of tartness,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,concrete,concrete,inan,definite,-,,NP NP.
3228,1005,auto,give,abstract,-,frame,evoked,ideas of what they want to do,plural,third,non-local,common,non-pronominal,non-pronominal,1+,7,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3232,1259,auto,give,abstract,-,gen,sitev,a lot more specialized instruction,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3232,1259,auto,give,abstract,-,gen,sitev,a teacher's assistants,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,determiner/number mismatch,NP NP.
3232,1259,auto,give,abstract,-,gen,sitev,financial aid,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3233,1253,hand,bring,abstract,-,frame,sitev,some kind of learning,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3234,1409,auto,give,transfer,-,evoked,sitev,this little puppy,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,animal,non-human animate,non-human animate,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3235,1362,hand,give,abstract,-,gen,evoked,credit for being home and raising them,singular,third,non-local,common,non-pronominal,non-pronominal,1+,7,non-concrete,non-concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3240,1377,auto,teach,communication,-,gen,evoked,responsibility,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,the kids,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
3241,1175,auto,tell,communication,-,gen,gen,everything,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,everybody,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,human,human,human,definite,-,,NP NP.
3241,1175,hand,tell,communication,-,gen,sitev,everything,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3241,1360,auto,feed,communication,-,unused,evoked,propaganda,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - broadly inclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3242,1362,auto,give,communication,-,gen,gen,a good example,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,students,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,,NP_PP.
3246,1410,hand,give,abstract,-,frame,anch,an almost impossible job,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,our teachers,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
3247,1415,auto,owe,future transfer,-,gen,evoked,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3249,1411,auto,tell,communication,-,bn,evoked,one ratio of adults to kids,singular,third,non-local,common,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3249,1098,auto,give,abstract,-,frame,evoked,the individual attention that I think they need,singular,third,non-local,common,non-pronominal,non-pronominal,3+,8,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3250,1415,auto,send,transfer,-,evoked,sitev,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,me,singular,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
3252,1406,auto,tell,communication,-,bn,sitev,an interesting story about how I got my dog,singular,third,non-local,common,non-pronominal,non-pronominal,3+,9,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3252,1406,auto,show,communication,-,evoked,evoked,the dog,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,animal,non-human animate,non-human animate,definite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3255,1352,auto,cost,prevention of possession,-,bn,sitev,about three dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3255,1352,auto,charge,prevention of possession,-,bn,sitev,forty dollars,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3255,1414,auto,cost,prevention of possession,-,bn,evoked,three times as much,singular,third,non-local,quantifier,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3256,1361,auto,send,communication,-,bn,gen,a message,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,people,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,discontinuous_theme,NP_PP.
3260,1324,auto,give,abstract,-,bn,sitev,ideas for my writing,plural,third,non-local,common,non-pronominal,non-pronominal,1+,4,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3260,1324,auto,give,abstract,-,frame,evoked,special time together,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,time,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3264,1418,auto,teach,communication,-,gen,sitev,a song,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3265,1409,hand,sell,transfer,-,gen,sitev,a car,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3265,1361,auto,cost,prevention of possession,-,bn,evoked,less money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3269,1361,hand,tell,communication,-,evoked,sitev,this,singular,third,non-local,demonstrative pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3270,1352,hand,give,abstract,-,frame,sitev,a idea that,singular,third,non-local,common,non-pronominal,non-pronominal,3+,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,unfinished construction,NP NP.
3270,1352,auto,cost,prevention of possession,-,bn,evoked,four hundred five hundred dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
3270,1352,auto,give,abstract,-,gen,gen,jobs,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,people,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,human,human,human,indefinite,-,,NP NP.
3270,1352,auto,cost,prevention of possession,-,evoked,evoked,the money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
3271,1415,auto,bring,transfer,-,evoked,evoked,her,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,animal,non-human_animate,non-human_animate,definite,-,us,plural,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
3274,1379,hand,send,transfer,-,coin,sitev,a little bit,singular,third,non-local,quantifier,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3275,1389,auto,give,abstract,-,sitev,sitev,a lot of time,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,time,non-concrete,inan,indefinite,-,us,plural,first - narrowly inclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3275,1108,auto,give,transfer,-,evoked,sitev,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,you,singular,second_-_non-specific,non-local,personal_pronoun,non-local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
3281,1402,auto,give,abstract,-,frame,sitev,some ideas,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3288,1388,auto,give,abstract,-,bn,sitev,a ride,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3288,1112,auto,cost,prevention of possession,-,bn,sitev,all kind of money,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3289,1312,auto,owe,future transfer,-,bn,frame,five hundred dollars or a thousand dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3+,7,non-concrete,non-concrete,inan,indefinite,-,the other guy,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,definite,-,,NP NP.
3289,1312,auto,pay,transfer,-,bn,evoked,seven dollars and fifty cents,plural,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - broadly inclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3289,1312,auto,owe,future transfer,-,gen,sitev,some money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3289,1312,auto,owe,future transfer,-,gen,sitev,some money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3291,1402,auto,bring,transfer,-,bn,sitev,a target from a rifle that he pretty well halfway designed,singular,third,non-local,common,non-pronominal,non-pronominal,2,11,concrete,concrete,inan,indefinite,-,me,singular,first_-_exclusive,local,personal_pronoun,local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,heavy_np_shift,NP_PP.
3292,1418,hand,pay,abstract,-,gen,evoked,attention,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,the World Series,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,definite,-,,NP_PP.
3294,1410,auto,give,abstract,-,gen,evoked,a lot of thought,singular,third,non-local,partitive,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,that,singular,third,non-local,demonstrative pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,definite,-,,NP NP.
3294,1353,auto,pay,transfer,-,frame,sitev,enough money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3294,1410,hand,sell,transfer,-,gen,sitev,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3294,1410,hand,sell,transfer,-,gen,sitev,something,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3296,1414,auto,give,communication,-,bn,sitev,a number to call,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3297,1409,auto,send,transfer,-,gen,sitev,another credit card,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3299,1374,auto,cost,prevention of possession,-,bn,sitev,more than I'm paying in rent,singular,third,non-local,quantifier,non-pronominal,non-pronominal,1+,6,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
3301,1404,auto,give,transfer,-,bn,sitev,things,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
